employeeid,employeename,date,check_in_time,check_out_time,total_hours,location,shift,manager_id,overtime_hours,days_present,days_absent,sick_leaves,vacation_leaves,late_check_ins,remarks
373,Piya Loke,14-09-2024,06:58:25,04:46:49,8,Madhyamgram,Day,106,2,24,1,1,3,2,Regular performer
498,Vardaniya Basak,29-12-2023,20:54:07,22:50:39,10,Malda,Night,108,1,16,1,1,2,0,Needs improvement
446,Mohanlal Dora,01-07-2024,15:40:27,21:52:46,6,Sirsa,Night,106,1,24,0,2,1,2,Regular performer
797,Pihu Hari,31-08-2024,07:29:15,11:01:32,9,Junagadh,Night,103,1,20,5,3,3,1,Leader performance
143,Dharmajan Lal,09-03-2024,07:27:04,19:47:05,10,Tirunelveli,Night,108,1,19,4,3,2,0,Leader performance
253,Miraya Mahal,24-01-2024,16:32:32,14:19:48,6,Udaipur,Day,109,1,17,3,3,2,1,Regular performer
903,Hridaan Divan,27-08-2024,09:39:48,06:38:44,8,Mysore,Night,106,2,25,2,3,0,1,Needs improvement
672,Anika Subramaniam,13-12-2023,09:51:45,17:27:00,7,Dindigul,Night,104,0,22,5,3,2,0,Leader performance
241,Jayan Ramachandran,01-08-2024,14:04:07,05:23:46,6,Dhule,Day,100,2,15,3,3,3,1,Needs improvement
671,Shamik Bhardwaj,24-06-2024,04:12:07,13:44:24,10,Shivpuri,Night,110,2,21,2,2,3,0,Regular performer
999,Ishita Dhaliwal,19-04-2024,11:51:02,12:08:29,9,Rampur,Night,106,0,22,4,1,2,1,Needs improvement
344,Seher Kara,09-05-2024,16:12:25,08:39:32,6,Guna,Day,109,0,18,0,2,1,2,Needs improvement
753,Jayesh Bhatt,12-11-2024,03:25:34,20:12:56,10,Bhagalpur,Night,100,1,23,4,1,0,2,Leader performance
588,Kimaya Bhakta,10-11-2024,06:21:26,13:20:56,7,Karnal,Night,109,1,18,1,0,1,2,Needs improvement
402,Elakshi Tailor,26-11-2023,16:09:30,22:49:30,9,Bulandshahr,Day,107,1,16,5,3,3,2,Needs improvement
324,Madhav Shankar,26-07-2024,16:59:04,23:38:47,7,Ozhukarai,Day,110,1,21,3,3,1,1,Leader performance
195,Anvi Jayaraman,19-04-2024,07:49:05,03:49:59,7,Agartala,Night,106,1,24,0,2,1,1,Leader performance
457,Rhea Kothari,26-02-2024,01:54:46,11:19:59,7,Junagadh,Night,107,2,25,3,1,2,0,Needs improvement
888,Zain Karan,04-10-2024,02:10:39,16:53:38,6,Ambala,Day,100,1,16,2,0,1,0,Leader performance
250,Armaan Baria,11-02-2024,01:21:33,03:36:01,10,Singrauli,Night,104,0,17,3,0,2,1,Leader performance
472,Aarav Tak,30-04-2024,23:43:45,18:43:00,10,Nangloi Jat,Night,103,2,17,1,2,1,0,Needs improvement
938,Indrajit Chander,14-02-2024,09:32:32,22:31:04,6,Eluru,Night,105,2,24,3,3,3,0,Regular performer
309,Aarush Mandal,19-01-2024,06:38:10,21:20:42,8,Aizawl,Night,109,0,19,1,3,1,0,Leader performance
239,Pranay Kakar,05-05-2024,18:08:27,02:33:34,8,Phagwara,Day,107,1,19,5,0,2,1,Needs improvement
635,Raunak Sarin,09-10-2024,09:55:12,20:39:17,7,Kulti,Night,110,0,25,4,1,2,0,Leader performance
519,Jivin Hayre,03-10-2024,22:56:28,03:08:29,6,Raurkela Industrial Township,Night,107,0,24,3,3,3,2,Needs improvement
983,Badal Khanna,20-10-2024,05:03:36,19:33:47,10,Jaunpur,Day,103,1,16,3,2,2,1,Regular performer
674,Mishti Khosla,21-06-2024,22:42:37,20:48:04,9,Katni,Day,103,2,20,2,3,3,0,Needs improvement
562,Uthkarsh Cherian,12-07-2024,10:06:48,06:39:02,8,Solapur,Day,108,2,22,2,0,3,2,Regular performer
181,Nakul Batra,13-06-2024,06:50:06,13:39:18,7,Medininagar,Night,107,2,17,5,3,3,1,Leader performance
657,Jhanvi Virk,22-01-2024,16:39:53,05:09:21,9,Rourkela,Day,106,2,24,1,0,1,1,Needs improvement
759,Umang Choudhry,16-04-2024,01:36:03,00:21:37,6,Hyderabad,Night,109,1,17,2,1,2,2,Regular performer
710,Nirvaan Luthra,12-04-2024,03:46:31,09:36:36,8,Jamshedpur,Day,106,1,21,0,1,0,0,Needs improvement
517,Mehul Shan,25-01-2024,07:47:00,02:44:53,8,Tadipatri,Day,109,1,18,0,1,2,0,Leader performance
569,Yashvi Ramakrishnan,04-02-2024,02:38:56,19:26:30,7,Madanapalle,Day,104,0,16,3,1,3,0,Leader performance
596,Keya Wali,16-12-2023,13:44:11,10:03:52,6,Vijayawada,Day,106,0,17,2,0,3,0,Needs improvement
998,Manikya Bala,06-05-2024,13:33:32,09:27:27,8,Jalandhar,Day,109,2,23,3,3,1,1,Needs improvement
264,Seher Hari,12-03-2024,03:38:34,21:36:41,6,Nadiad,Day,104,1,16,0,3,0,1,Regular performer
752,Nishith Deshpande,29-09-2024,11:33:00,11:23:46,8,Dindigul,Night,108,2,17,4,3,3,1,Leader performance
275,Neysa Shan,09-01-2024,23:04:00,07:26:23,7,Rajahmundry,Day,110,2,18,4,0,2,2,Regular performer
255,Ritvik Mandal,30-11-2023,23:04:56,03:26:29,10,Tezpur,Day,108,2,16,3,3,3,2,Needs improvement
105,Ayesha Chauhan,28-07-2024,06:26:10,02:24:17,9,Fatehpur,Day,103,0,19,2,2,1,2,Regular performer
852,Parinaaz Setty,01-04-2024,14:40:48,14:59:18,10,Davanagere,Night,106,1,25,3,0,3,2,Regular performer
360,Jayan Char,05-08-2024,12:51:08,18:54:51,7,Sirsa,Night,101,2,23,0,2,2,0,Leader performance
370,Saira Loyal,05-06-2024,21:20:49,02:50:23,9,Gandhidham,Night,108,1,16,5,2,2,1,Leader performance
262,Vaibhav Sidhu,02-04-2024,05:55:22,07:51:10,10,Firozabad,Night,101,1,24,4,3,0,0,Leader performance
624,Riaan Kunda,01-12-2023,00:12:32,08:52:21,8,Hosur,Day,102,1,15,5,3,2,2,Leader performance
717,Oorja Mahajan,25-01-2024,09:46:08,23:36:49,9,Anantapuram,Night,110,1,23,1,1,2,0,Needs improvement
982,Ivana Tank,03-07-2024,14:32:50,07:52:56,9,Kanpur,Night,107,2,25,1,1,1,1,Leader performance
719,Vaibhav Devi,27-03-2024,17:16:56,18:33:36,9,Visakhapatnam,Day,104,1,23,2,3,2,1,Regular performer
341,Raghav Sastry,05-05-2024,06:30:27,01:12:26,10,Ballia,Day,100,1,15,4,3,0,0,Needs improvement
693,Vedika Ratti,07-12-2023,18:00:24,20:11:47,8,Bhavnagar,Day,101,2,22,3,0,2,1,Regular performer
728,Tanya Doctor,25-11-2023,12:43:29,03:32:42,8,Yamunanagar,Day,104,0,15,4,2,3,2,Needs improvement
502,Sahil Srinivas,07-01-2024,03:08:57,07:12:00,7,Surendranagar Dudhrej,Day,107,0,15,0,3,2,0,Needs improvement
111,Hiran Sidhu,20-01-2024,19:18:42,17:57:08,6,Kamarhati,Night,104,0,20,2,0,0,1,Leader performance
430,Ryan Gill,10-03-2024,23:06:03,09:57:23,9,Bhusawal,Night,100,2,18,3,2,2,2,Needs improvement
233,Vanya Saha,15-08-2024,17:51:10,04:36:43,7,Ballia,Day,103,0,15,5,1,3,1,Regular performer
100,Manikya Lall,31-01-2024,06:28:30,13:15:10,7,Solapur,Day,109,0,18,4,0,3,1,Leader performance
145,Nakul Bhatti,10-01-2024,21:38:35,10:47:54,6,Bhind,Day,102,1,21,4,0,2,2,Regular performer
880,Baiju Sastry,18-01-2024,05:05:30,13:15:13,7,Unnao,Night,108,1,25,0,3,2,1,Leader performance
826,Rasha Sama,05-08-2024,06:14:05,22:31:31,10,Jamshedpur,Day,109,2,22,5,1,1,1,Leader performance
246,Aradhya Varty,05-05-2024,05:12:12,15:14:34,7,Haridwar,Day,104,2,15,5,1,2,0,Leader performance
831,Indrans Reddy,10-09-2024,22:28:59,18:44:07,9,Serampore,Night,103,1,16,4,1,1,2,Needs improvement
942,Rasha Boase,09-03-2024,10:03:28,10:15:36,7,Secunderabad,Day,103,0,21,0,0,1,1,Needs improvement
632,Shaan Varkey,08-08-2024,17:36:18,09:06:13,7,Howrah,Night,104,2,25,2,2,2,0,Regular performer
820,Ishaan Chowdhury,23-04-2024,02:36:38,01:38:01,6,Rampur,Day,109,1,25,0,3,1,1,Needs improvement
783,Anahita Bakshi,27-11-2023,01:39:11,21:03:20,10,Surat,Night,104,2,25,0,2,1,2,Needs improvement
704,Dharmajan Sekhon,10-10-2024,03:09:14,05:44:17,10,Pimpri-Chinchwad,Night,100,1,18,4,0,3,2,Needs improvement
441,Devansh Loyal,04-05-2024,18:53:39,11:49:15,6,Sasaram,Day,109,1,21,0,0,3,2,Needs improvement
370,Saira Loyal,22-12-2023,04:29:47,05:09:32,8,Hospet,Day,107,2,21,0,1,2,2,Needs improvement
262,Vaibhav Sidhu,19-06-2024,22:32:34,12:18:01,9,Hospet,Night,108,0,15,0,2,1,0,Regular performer
624,Riaan Kunda,04-01-2024,04:07:05,06:34:55,9,Muzaffarnagar,Night,108,2,25,0,2,0,2,Needs improvement
717,Oorja Mahajan,18-03-2024,04:58:46,06:46:10,8,Akola,Night,101,2,20,0,3,2,2,Regular performer
982,Ivana Tank,07-01-2024,01:40:21,11:08:41,7,Erode,Day,103,1,19,1,2,1,1,Regular performer
719,Vaibhav Devi,23-04-2024,17:46:21,23:21:46,7,Fatehpur,Night,106,2,17,2,1,0,0,Needs improvement
341,Raghav Sastry,04-11-2024,03:40:09,07:14:47,6,Cuttack,Night,105,2,25,5,0,0,2,Leader performance
693,Vedika Ratti,27-08-2024,18:34:10,02:04:07,6,Ujjain,Night,105,1,18,1,3,0,2,Leader performance
728,Tanya Doctor,15-01-2024,15:49:44,15:52:33,7,Tiruppur,Day,103,2,25,5,1,0,2,Needs improvement
502,Sahil Srinivas,13-08-2024,10:01:49,08:30:21,9,Aurangabad,Day,103,0,15,3,1,1,0,Needs improvement
111,Hiran Sidhu,18-05-2024,15:40:21,23:08:30,10,Sultan Pur Majra,Night,108,2,17,3,0,3,1,Regular performer
194,Siya Dhingra,14-07-2024,12:57:03,15:53:17,9,Nadiad,Night,104,0,20,2,2,0,0,Leader performance
595,Vivaan Shukla,28-05-2024,09:19:54,06:46:45,8,Katni,Day,101,2,20,1,1,0,0,Leader performance
953,Saksham Karpe,29-04-2024,13:35:05,23:53:40,9,Asansol,Night,108,1,19,3,0,1,2,Regular performer
513,Khushi Walla,30-11-2023,18:12:25,16:50:38,6,Ramgarh,Night,107,2,18,5,2,1,1,Needs improvement
950,Hiran Baral,31-08-2024,11:39:40,04:19:27,7,Howrah,Night,107,2,23,3,0,2,2,Needs improvement
789,Onkar Halder,05-07-2024,23:29:42,17:42:21,8,Vijayanagaram,Night,103,2,24,2,1,0,0,Regular performer
958,Raghav Dani,29-01-2024,14:25:38,22:41:44,10,Hazaribagh,Day,105,2,17,5,2,3,1,Regular performer
370,Saira Loyal,10-10-2024,12:36:55,02:44:06,7,Morbi,Night,101,1,23,1,2,2,1,Leader performance
262,Vaibhav Sidhu,01-06-2024,13:23:58,21:31:19,7,Kulti,Night,105,0,23,4,0,1,1,Regular performer
624,Riaan Kunda,24-02-2024,17:22:22,19:34:26,6,Purnia,Night,105,0,18,0,2,3,2,Needs improvement
717,Oorja Mahajan,11-04-2024,22:38:55,06:28:25,10,Raichur,Day,108,1,25,2,0,2,2,Leader performance
982,Ivana Tank,03-03-2024,20:02:27,22:04:36,10,Aizawl,Night,109,1,19,5,1,3,2,Regular performer
719,Vaibhav Devi,17-09-2024,06:16:12,04:39:18,6,Erode,Day,107,2,25,1,0,3,2,Needs improvement
341,Raghav Sastry,03-03-2024,12:10:16,18:28:52,10,Asansol,Day,101,2,21,2,1,1,0,Regular performer
693,Vedika Ratti,25-06-2024,10:55:12,21:57:13,7,Gudivada,Night,106,2,15,4,2,2,1,Needs improvement
728,Tanya Doctor,13-06-2024,09:46:20,12:42:41,6,Chinsurah,Night,102,1,18,5,3,1,1,Leader performance
502,Sahil Srinivas,21-05-2024,09:55:42,14:09:32,8,Bhimavaram,Night,109,0,24,0,3,2,0,Needs improvement
111,Hiran Sidhu,11-11-2024,07:04:42,23:04:11,8,Mehsana,Day,108,0,23,2,2,0,1,Leader performance
778,Shray Chauhan,19-12-2023,18:43:13,04:40:28,6,Ludhiana,Night,105,0,17,1,0,1,2,Needs improvement
117,Drishya Tank,02-11-2024,15:12:32,22:38:53,10,Kishanganj,Night,109,1,20,1,1,1,2,Regular performer
673,Pari Edwin,27-04-2024,19:33:07,13:17:18,6,Hyderabad,Day,105,2,18,5,0,3,2,Regular performer
910,Dhanuk Thakkar,11-02-2024,10:26:32,11:02:18,6,Kolkata,Day,105,1,22,4,1,3,0,Regular performer
986,Drishya Mane,27-02-2024,00:03:47,21:19:38,9,Bharatpur,Day,109,2,24,2,2,3,2,Regular performer
541,Inaaya  Sankar,13-10-2024,10:44:36,11:24:13,9,Avadi,Day,107,2,17,3,0,1,2,Leader performance
451,Ivana Ramaswamy,21-02-2024,18:58:21,15:58:25,7,Guna,Day,103,2,21,1,0,2,2,Regular performer
231,Aarush Bhasin,31-05-2024,16:34:47,14:55:44,10,Amaravati,Day,105,2,16,2,3,2,2,Regular performer
434,Nitya Majumdar,13-12-2023,00:27:29,00:57:49,10,Kochi,Night,100,1,21,1,2,0,2,Leader performance
869,Biju Sankaran,26-10-2024,06:31:57,00:57:06,10,Bongaigaon,Night,108,1,18,2,3,3,0,Regular performer
152,Vaibhav Sathe,07-06-2024,02:01:41,05:10:57,7,Mysore,Night,101,2,17,4,0,0,2,Regular performer
377,Zara Sem,01-11-2024,20:49:37,09:18:59,9,Ambarnath,Day,109,0,22,4,3,2,1,Needs improvement
911,Madhav Ben,12-06-2024,00:13:12,09:27:47,10,Kozhikode,Day,102,1,22,3,3,3,2,Leader performance
272,Kanav Dalal,30-08-2024,22:13:08,08:29:22,7,Jamshedpur,Night,100,0,22,4,0,1,2,Leader performance
431,Jiya Dave,17-05-2024,00:52:11,14:48:18,7,Loni,Day,100,1,20,5,0,0,1,Needs improvement
786,Nishith Sastry,24-07-2024,12:10:04,21:01:32,6,Anantapuram,Day,100,0,16,0,0,0,0,Needs improvement
941,Trisha Kalita,12-06-2024,16:06:52,11:39:46,9,Kota,Night,106,0,15,2,3,3,2,Regular performer
856,Divit Wadhwa,02-12-2023,18:57:04,17:11:26,10,Nadiad,Night,108,1,25,2,0,2,2,Needs improvement
769,Tiya Chaudry,29-10-2024,07:35:57,06:31:00,6,Salem,Day,105,2,20,3,3,2,0,Needs improvement
575,Neysa Sahota,25-04-2024,07:35:09,12:53:14,7,Phagwara,Day,103,2,23,4,1,2,1,Leader performance
813,Sara Vohra,27-07-2024,10:02:03,05:44:27,7,Cuttack,Night,107,2,22,5,2,3,0,Leader performance
659,Shamik Wali,05-11-2024,00:26:45,18:16:20,6,Kumbakonam,Night,104,0,20,0,3,2,2,Needs improvement
593,Sara Sibal,14-10-2024,19:38:58,05:02:10,7,Nagaon,Night,107,2,23,5,1,2,0,Leader performance
686,Akarsh Chada,07-07-2024,05:22:04,05:26:58,10,Kishanganj,Day,103,0,25,5,1,0,1,Regular performer
558,Jhanvi Sidhu,12-11-2024,10:46:44,07:35:52,9,Munger,Night,107,2,15,1,2,2,0,Regular performer
515,Farhan Walla,08-06-2024,02:11:12,12:50:10,8,Bahraich,Night,106,0,20,5,3,1,1,Leader performance
422,Rhea Kala,06-10-2024,20:17:56,14:52:20,10,Agra,Night,104,0,25,3,0,3,2,Needs improvement
723,Ishaan Arya,06-07-2024,01:21:27,05:52:55,7,Loni,Day,104,0,18,1,1,1,0,Needs improvement
263,Keya Hayre,09-03-2024,18:23:55,18:41:48,6,Amroha,Night,100,0,19,1,2,3,2,Needs improvement
155,Hrishita Kant,17-05-2024,13:10:01,05:07:33,9,Ongole,Day,107,1,17,0,1,0,1,Leader performance
768,Prerak Kannan,09-08-2024,02:06:14,04:41:56,9,Proddatur,Day,105,0,25,3,3,2,1,Leader performance
507,Adira Walia,18-07-2024,08:56:54,02:05:13,7,Meerut,Day,109,0,16,2,3,1,2,Regular performer
640,Ryan Mani,29-07-2024,09:42:23,20:01:43,7,Madhyamgram,Day,100,0,22,4,0,2,0,Regular performer
339,Amani Soni,19-03-2024,08:13:12,18:27:01,6,Bidhannagar,Night,106,1,17,1,1,3,0,Needs improvement
912,Madhup Shere,25-08-2024,05:26:49,00:16:59,8,Orai,Day,108,1,22,0,2,0,2,Needs improvement
663,Rania Master,21-05-2024,06:03:23,10:22:09,6,Proddatur,Day,107,1,15,4,1,2,1,Leader performance
802,Zaina Venkataraman,29-09-2024,05:33:01,06:20:31,7,Bareilly,Day,104,1,23,4,3,2,1,Needs improvement
560,Jayesh Mall,07-11-2024,20:35:40,10:16:42,8,Kumbakonam,Night,107,2,22,2,3,1,0,Regular performer
142,Lavanya Kari,27-04-2024,06:18:08,22:40:35,7,Chittoor,Day,107,0,22,2,2,2,0,Needs improvement
454,Ryan Tata,16-05-2024,22:18:06,07:16:42,7,Thiruvananthapuram,Night,102,0,18,5,2,3,1,Leader performance
251,Ehsaan Som,15-10-2024,18:27:36,02:59:59,9,Kulti,Night,101,2,22,1,0,1,2,Leader performance
150,Lagan Dubey,08-01-2024,18:59:27,04:55:25,6,Salem,Day,105,1,24,2,3,2,2,Regular performer
879,Mohanlal Borah,16-05-2024,17:33:07,20:54:26,7,Kishanganj,Night,109,2,21,4,3,1,0,Regular performer
429,Piya Deo,07-10-2024,00:33:17,18:58:46,10,Gandhinagar,Night,110,0,17,4,0,0,0,Leader performance
801,Romil Mann,13-05-2024,01:33:09,22:23:28,8,Nagpur,Day,102,0,24,4,0,2,0,Regular performer
528,Rohan Anand,28-07-2024,18:24:36,09:03:22,7,Tenali,Night,100,0,23,3,3,1,2,Regular performer
551,Charvi Golla,29-04-2024,08:27:50,08:37:20,7,Jalna,Day,107,0,15,5,3,2,0,Regular performer
393,Alisha Bora,01-02-2024,19:10:07,01:43:40,7,Warangal,Night,107,0,25,5,2,0,1,Needs improvement
197,Indranil Kant,28-03-2024,02:05:56,13:10:44,7,Karnal,Night,102,0,21,4,3,3,2,Needs improvement
720,Sahil Thaman,02-11-2024,11:01:27,22:53:37,9,Panihati,Day,105,2,21,1,1,3,2,Needs improvement
235,Aarush Dhar,07-09-2024,11:51:41,11:28:25,7,Nizamabad,Night,103,0,21,1,3,1,2,Needs improvement
977,Manikya Shenoy,23-07-2024,13:11:11,17:22:06,9,Bokaro,Day,109,1,17,1,1,3,2,Leader performance
917,Jivika Ramakrishnan,23-07-2024,08:26:36,08:42:57,7,Mango,Day,100,0,15,4,1,1,1,Leader performance
320,Bhamini Sule,19-05-2024,03:05:43,23:59:50,9,Chandrapur,Day,103,0,18,0,1,1,1,Needs improvement
636,Alia Hayre,11-09-2024,01:29:43,14:34:38,7,Bhusawal,Night,105,0,18,2,0,3,1,Leader performance
216,Alisha Konda,16-07-2024,19:48:26,04:23:58,9,Warangal,Night,102,2,22,4,3,2,0,Needs improvement
731,Yashvi Brahmbhatt,27-01-2024,09:02:52,07:25:39,7,Udaipur,Night,102,1,16,0,3,0,2,Needs improvement
334,Trisha Bhat,13-11-2024,06:49:07,00:07:42,10,Bhopal,Day,108,2,21,5,1,1,0,Regular performer
737,Aaryahi Devan,02-07-2024,22:27:26,00:11:41,9,Narasaraopet,Night,104,1,24,0,3,0,1,Regular performer
182,Nayantara Dugal,05-05-2024,02:54:14,22:03:39,10,Ajmer,Night,108,0,17,1,3,3,2,Needs improvement
897,Ishita Edwin,23-09-2024,09:47:14,13:53:14,7,Bhagalpur,Day,100,0,25,2,0,1,2,Leader performance
576,Bhavin Hari,30-05-2024,21:23:43,16:42:52,9,Akola,Day,104,0,25,2,2,0,2,Needs improvement
471,Stuvan Dixit,06-12-2023,06:59:55,20:00:22,10,Jammu,Night,104,0,24,0,0,3,1,Leader performance
455,Tushar Dalal,14-11-2024,02:36:56,09:39:34,9,Kota,Night,103,1,18,4,0,2,0,Regular performer
923,Yuvaan Chand,05-11-2024,00:21:16,13:42:10,7,Panipat,Day,105,2,22,1,0,2,1,Needs improvement
980,Kismat Baria,10-02-2024,10:36:46,10:07:19,10,Varanasi,Night,105,0,17,3,0,0,1,Regular performer
650,Eva Bhandari,04-08-2024,11:59:10,18:06:12,10,Salem,Day,109,2,21,3,0,2,2,Leader performance
375,Aarna Arora,18-06-2024,23:50:29,17:33:25,8,Mango,Night,105,2,24,3,0,0,0,Regular performer
747,Ela Thakkar,24-02-2024,20:40:53,13:13:18,10,Sagar,Day,102,1,19,4,0,2,0,Regular performer
127,Vritika Sachdev,13-08-2024,11:30:17,02:16:20,8,Allahabad,Day,105,1,19,3,3,0,0,Regular performer
370,Saira Loyal,26-07-2024,06:30:41,22:21:03,10,Jaunpur,Night,109,1,19,0,1,1,1,Leader performance
262,Vaibhav Sidhu,14-01-2024,11:45:58,14:05:36,9,Adoni,Night,105,0,19,5,0,0,1,Needs improvement
624,Riaan Kunda,25-04-2024,20:09:15,10:20:46,9,Dhanbad,Day,110,0,24,2,2,2,0,Leader performance
717,Oorja Mahajan,29-08-2024,18:08:06,23:36:48,9,Bihar Sharif,Day,110,0,25,4,1,0,0,Leader performance
982,Ivana Tank,20-07-2024,06:11:10,08:00:53,9,Baranagar,Night,106,0,21,1,1,2,1,Leader performance
719,Vaibhav Devi,31-12-2023,10:27:57,11:52:03,6,Orai,Day,104,0,23,4,0,0,1,Needs improvement
341,Raghav Sastry,15-12-2023,01:35:33,13:16:39,7,Guwahati,Day,102,0,17,0,2,0,0,Regular performer
693,Vedika Ratti,29-06-2024,10:25:20,16:47:51,9,Bulandshahr,Night,108,0,18,2,0,1,2,Regular performer
728,Tanya Doctor,19-05-2024,18:29:46,13:36:05,10,Coimbatore,Night,104,1,17,2,0,0,0,Needs improvement
502,Sahil Srinivas,02-11-2024,02:15:38,07:40:18,8,Shahjahanpur,Day,109,0,21,2,3,0,0,Leader performance
111,Hiran Sidhu,23-06-2024,12:29:10,18:58:39,7,Agra,Night,101,1,20,3,3,1,1,Needs improvement
